證券代號,證券名稱,外陸資買進股數(不含外資自營商),外陸資賣出股數(不含外資自營商),外陸資買賣超股數(不含外資自營商),外資自營商買進股數,外資自營商賣出股數,外資自營商買賣超股數,投信買進股數,投信賣出股數,投信買賣超股數,自營商買賣超股數,自營商買進股數(自行買賣),自營商賣出股數(自行買賣),自營商買賣超股數(自行買賣),自營商買進股數(避險),自營商賣出股數(避險),自營商買賣超股數(避險),三大法人買賣超股數,Unnamed: 19
2727,王品            ,183030,67000,116030,0,0,0,9000,0,9000,1601,0,2000,-2000,3601,0,3601,126631,
4952,凌通            ,534000,411000,123000,0,0,0,0,0,0,-3539,1000,4539,-3539,0,0,0,119461,
1597,直得            ,270095,147000,123095,0,0,0,0,6000,-6000,435,11000,9000,2000,3000,4565,-1565,117530,
2497,怡利電          ,219000,105000,114000,0,0,0,0,0,0,2000,3000,1000,2000,0,0,0,116000,
2397,友通            ,185000,68000,117000,0,0,0,0,0,0,-1000,0,1000,-1000,0,0,0,116000,
3532,台勝科          ,80729,88000,-7271,0,0,0,0,0,0,123000,73000,16000,57000,70000,4000,66000,115729,
2520,冠德            ,391000,260000,131000,0,0,0,0,0,0,-16057,5053,20001,-14948,159,1268,-1109,114943,
2419,仲琦            ,420000,288000,132000,0,0,0,0,9000,-9000,-12380,0,6377,-6377,0,6003,-6003,110620,
3023,信邦            ,873300,736000,137300,0,0,0,0,1000,-1000,-26645,20300,14443,5857,14202,46704,-32502,109655,
6799,來頡            ,316000,212000,104000,0,0,0,0,0,0,4951,7003,2052,4951,0,0,0,108951,
8163,達方            ,605045,430000,175045,0,0,0,0,0,0,-66526,13000,56967,-43967,0,22559,-22559,108519,
6164,華興            ,177000,74000,103000,0,0,0,0,0,0,5000,5000,0,5000,0,0,0,108000,
3030,德律            ,283015,207000,76015,0,0,0,0,0,0,26567,16000,14000,2000,29000,4433,24567,102582,
4968,立積            ,477751,351000,126751,0,0,0,0,0,0,-24700,1000,2000,-1000,13332,37032,-23700,102051,
3094,聯傑            ,1055000,968000,87000,0,0,0,0,0,0,15000,19000,4000,15000,0,0,0,102000,
6472,保瑞            ,901517,859350,42167,0,0,0,2000,0,2000,57535,14000,14850,-850,107894,49509,58385,101702,
6909,創控            ,357000,254000,103000,0,0,0,0,0,0,-1539,1000,2539,-1539,0,0,0,101461,
1464,得力            ,170000,60000,110000,0,0,0,0,0,0,-10000,0,10000,-10000,0,0,0,100000,
5484,慧友            ,178011,75000,103011,0,0,0,0,4000,-4000,0,0,0,0,0,0,0,99011,
9958,世紀鋼          ,498773,396010,102763,0,0,0,0,0,0,-4705,2000,8705,-6705,5000,3000,2000,98058,
3311,閎暉            ,165088,67000,98088,0,0,0,0,0,0,-2997,3,3000,-2997,0,0,0,95091,
6550,北極星藥業-KY   ,393000,296000,97000,0,0,0,0,0,0,-2000,3000,5000,-2000,0,0,0,95000,
3138,耀登            ,462000,371000,91000,0,0,0,0,0,0,2845,0,1000,-1000,7000,3155,3845,93845,
6136,富爾特          ,186000,93000,93000,0,0,0,0,0,0,-1000,2000,3000,-1000,0,0,0,92000,
1710,東聯            ,531000,371000,160000,0,0,0,0,0,0,-68331,10000,26236,-16236,0,52095,-52095,91669,
2379,瑞昱            ,3737786,3460127,277659,0,0,0,23394,118221,-94827,-91560,14000,28521,-14521,124006,201045,-77039,91272,
1307,三芳            ,391000,247000,144000,0,0,0,0,24588,-24588,-28898,0,0,0,5728,34626,-28898,90514,
9919,康那香          ,331000,236500,94500,0,0,0,0,0,0,-4000,0,4000,-4000,0,0,0,90500,
1529,樂事綠能        ,214000,125000,89000,0,0,0,0,0,0,0,0,0,0,0,0,0,89000,
7750,新代            ,257034,166090,90944,0,0,0,3000,0,3000,-6476,6509,15000,-8491,4110,2095,2015,87468,
2390,云辰            ,162000,77000,85000,0,0,0,0,0,0,2054,4000,1946,2054,0,0,0,87054,
4961,天鈺            ,1236497,1139585,96912,0,0,0,0,1000,-1000,-9613,0,16000,-16000,49943,43556,6387,86299,
5607,遠雄港          ,223201,132000,91201,0,0,0,0,0,0,-5000,0,5000,-5000,0,0,0,86201,
3321,同泰            ,169000,83000,86000,0,0,0,0,0,0,0,0,0,0,0,0,0,86000,
1444,力麗            ,233004,129000,104004,0,0,0,0,0,0,-20000,0,20000,-20000,0,0,0,84004,
3447,展達            ,103000,22000,81000,0,0,0,0,0,0,2000,3000,1000,2000,0,0,0,83000,
8162,微矽電子-創     ,261324,175000,86324,0,0,0,0,0,0,-3403,0,1000,-1000,29046,31449,-2403,82921,
