證券代號,證券名稱,外陸資買進股數(不含外資自營商),外陸資賣出股數(不含外資自營商),外陸資買賣超股數(不含外資自營商),外資自營商買進股數,外資自營商賣出股數,外資自營商買賣超股數,投信買進股數,投信賣出股數,投信買賣超股數,自營商買賣超股數,自營商買進股數(自行買賣),自營商賣出股數(自行買賣),自營商買賣超股數(自行買賣),自營商買進股數(避險),自營商賣出股數(避險),自營商買賣超股數(避險),三大法人買賣超股數
1307,三芳,253000,104000,149000,0,0,0,0,10000,-10000,0,0,0,0,0,0,0,139000
2913,農林,212153,70000,142153,0,0,0,0,0,0,-4000,2000,6000,-4000,0,0,0,138153
5607,遠雄港,480000,343071,136929,0,0,0,0,0,0,0,4000,4000,0,0,0,0,136929
3550,聯穎,314200,174000,140200,0,0,0,0,4000,-4000,0,1000,1000,0,0,0,0,136200
4977,眾達-KY,1165600,1008000,157600,0,0,0,0,0,0,-23374,0,0,0,21815,45189,-23374,134226
4142,國光生,203001,62000,141001,0,0,0,0,0,0,-8000,0,8000,-8000,0,0,0,133001
3535,晶彩科,403816,277000,126816,0,0,0,0,0,0,2647,0,0,0,5769,3122,2647,129463
6831,邁科,561530,401010,160520,0,0,0,0,40000,-40000,8310,0,57,-57,13823,5456,8367,128830
2478,大毅,586600,489161,97439,0,0,0,0,5000,-5000,34884,0,1127,-1127,44114,8103,36011,127323
4306,炎洲,316371,163000,153371,0,0,0,0,0,0,-28000,0,28000,-28000,0,0,0,125371
6589,台康生技,185077,57000,128077,0,0,0,0,0,0,-3601,0,4000,-4000,1000,601,399,124476
3092,鴻碩,153000,29000,124000,0,0,0,0,0,0,4,0,0,0,4,0,4,124004
6742,澤米,179460,56000,123460,0,0,0,0,0,0,0,0,0,0,0,0,0,123460
3592,瑞鼎,195075,68000,127075,0,0,0,0,1398,-1398,-2421,0,1000,-1000,360,1781,-1421,123256
2483,百容,293019,169060,123959,0,0,0,0,0,0,-1000,0,1000,-1000,0,0,0,122959
